,mod5_b,height,wind,diff_h
0,0,0,0,
1,1,1,1,1.0
2,2,4,2,3.0
3,3,7,3,3.0
4,4,7,4,0.0
5,0,7,5,0.0
6,1,8,6,1.0
7,2,11,7,3.0
8,3,14,8,3.0
9,4,16,9,2.0
10,0,18,10,2.0
11,1,19,11,1.0
12,2,21,12,2.0
13,3,23,13,2.0
14,4,25,14,2.0
15,0,27,15,2.0
16,1,28,16,1.0
17,2,31,17,3.0
18,3,34,18,3.0
19,4,38,19,4.0
20,0,40,20,2.0
21,1,40,21,0.0
22,2,40,22,0.0
23,3,43,23,3.0
24,4,45,24,2.0
25,0,45,25,0.0
26,1,46,26,1.0
27,2,49,27,3.0
28,3,51,28,2.0
29,4,53,29,2.0
30,0,53,30,0.0
31,1,54,31,1.0
32,2,57,32,3.0
33,3,59,33,2.0
34,4,60,34,1.0
35,0,61,35,1.0
36,1,62,36,1.0
37,2,65,37,3.0
38,3,68,38,3.0
39,4,70,39,2.0
40,0,70,40,0.0
41,1,71,41,1.0
42,2,74,42,3.0
43,3,77,43,3.0
44,4,77,44,0.0
45,0,77,45,0.0
46,1,78,46,1.0
47,2,81,47,3.0
48,3,84,48,3.0
49,4,88,49,4.0
50,0,90,50,2.0
51,1,90,51,0.0
52,2,93,52,3.0
53,3,96,53,3.0
54,4,98,54,2.0
55,0,98,55,0.0
56,1,99,56,1.0
57,2,102,57,3.0
58,3,105,58,3.0
59,4,107,59,2.0
60,0,109,60,2.0
61,1,110,61,1.0
62,2,112,62,2.0
63,3,114,63,2.0
64,4,118,64,4.0
65,0,120,65,2.0
66,1,121,66,1.0
67,2,124,67,3.0
68,3,127,68,3.0
69,4,129,69,2.0
70,0,129,70,0.0
71,1,130,71,1.0
72,2,133,72,3.0
73,3,133,73,0.0
74,4,136,74,3.0
75,0,136,75,0.0
76,1,137,76,1.0
77,2,140,77,3.0
78,3,143,78,3.0
79,4,143,79,0.0
80,0,143,80,0.0
81,1,144,81,1.0
82,2,147,82,3.0
83,3,150,83,3.0
84,4,154,84,4.0
85,0,154,85,0.0
86,1,154,86,0.0
87,2,156,87,2.0
88,3,158,88,2.0
89,4,162,89,4.0
90,0,162,90,0.0
91,1,163,91,1.0
92,2,165,92,2.0
93,3,166,93,1.0
94,4,168,94,2.0
95,0,170,95,2.0
96,1,170,96,0.0
97,2,173,97,3.0
98,3,176,98,3.0
99,4,178,99,2.0
100,0,178,100,0.0
101,1,179,101,1.0
102,2,182,102,3.0
103,3,184,103,2.0
104,4,188,104,4.0
105,0,188,105,0.0
106,1,188,106,0.0
107,2,190,107,2.0
108,3,190,108,0.0
109,4,190,109,0.0
110,0,192,110,2.0
111,1,193,111,1.0
112,2,196,112,3.0
113,3,199,113,3.0
114,4,199,114,0.0
115,0,199,115,0.0
116,1,200,116,1.0
117,2,203,117,3.0
118,3,205,118,2.0
119,4,205,119,0.0
120,0,205,120,0.0
121,1,205,121,0.0
122,2,206,122,1.0
123,3,209,123,3.0
124,4,213,124,4.0
125,0,213,125,0.0
126,1,213,126,0.0
127,2,215,127,2.0
128,3,218,128,3.0
129,4,220,129,2.0
130,0,222,130,2.0
131,1,223,131,1.0
132,2,226,132,3.0
133,3,228,133,2.0
134,4,232,134,4.0
135,0,232,135,0.0
136,1,233,136,1.0
137,2,236,137,3.0
138,3,239,138,3.0
139,4,239,139,0.0
140,0,241,140,2.0
141,1,242,141,1.0
142,2,245,142,3.0
143,3,248,143,3.0
144,4,250,144,2.0
145,0,252,145,2.0
146,1,253,146,1.0
147,2,256,147,3.0
148,3,259,148,3.0
149,4,259,149,0.0
150,0,259,150,0.0
151,1,260,151,1.0
152,2,262,152,2.0
153,3,265,153,3.0
154,4,267,154,2.0
155,0,267,155,0.0
156,1,268,156,1.0
157,2,271,157,3.0
158,3,274,158,3.0
159,4,276,159,2.0
160,0,276,160,0.0
161,1,277,161,1.0
162,2,279,162,2.0
163,3,281,163,2.0
164,4,285,164,4.0
165,0,285,165,0.0
166,1,286,166,1.0
167,2,289,167,3.0
168,3,292,168,3.0
169,4,292,169,0.0
170,0,292,170,0.0
171,1,293,171,1.0
172,2,296,172,3.0
173,3,298,173,2.0
174,4,300,174,2.0
175,0,302,175,2.0
176,1,303,176,1.0
177,2,306,177,3.0
178,3,309,178,3.0
179,4,309,179,0.0
180,0,309,180,0.0
181,1,310,181,1.0
182,2,313,182,3.0
183,3,313,183,0.0
184,4,317,184,4.0
185,0,317,185,0.0
186,1,318,186,1.0
187,2,320,187,2.0
188,3,322,188,2.0
189,4,326,189,4.0
190,0,326,190,0.0
191,1,326,191,0.0
192,2,328,192,2.0
193,3,330,193,2.0
194,4,334,194,4.0
195,0,334,195,0.0
196,1,334,196,0.0
197,2,336,197,2.0
198,3,336,198,0.0
199,4,339,199,3.0
200,0,341,200,2.0
201,1,342,201,1.0
202,2,343,202,1.0
203,3,346,203,3.0
204,4,346,204,0.0
205,0,348,205,2.0
206,1,349,206,1.0
207,2,352,207,3.0
208,3,355,208,3.0
209,4,355,209,0.0
210,0,355,210,0.0
211,1,356,211,1.0
212,2,358,212,2.0
213,3,359,213,1.0
214,4,362,214,3.0
215,0,362,215,0.0
216,1,362,216,0.0
217,2,365,217,3.0
218,3,365,218,0.0
219,4,368,219,3.0
220,0,368,220,0.0
221,1,369,221,1.0
222,2,371,222,2.0
223,3,372,223,1.0
224,4,374,224,2.0
225,0,376,225,2.0
226,1,377,226,1.0
227,2,380,227,3.0
228,3,382,228,2.0
229,4,382,229,0.0
230,0,383,230,1.0
231,1,384,231,1.0
232,2,386,232,2.0
233,3,387,233,1.0
234,4,388,234,1.0
235,0,388,235,0.0
236,1,389,236,1.0
237,2,392,237,3.0
238,3,394,238,2.0
239,4,394,239,0.0
240,0,394,240,0.0
241,1,394,241,0.0
242,2,397,242,3.0
243,3,399,243,2.0
244,4,400,244,1.0
245,0,400,245,0.0
246,1,400,246,0.0
247,2,403,247,3.0
248,3,406,248,3.0
249,4,406,249,0.0
250,0,408,250,2.0
251,1,409,251,1.0
252,2,411,252,2.0
253,3,412,253,1.0
254,4,414,254,2.0
255,0,414,255,0.0
256,1,415,256,1.0
257,2,418,257,3.0
258,3,418,258,0.0
259,4,422,259,4.0
260,0,422,260,0.0
261,1,423,261,1.0
262,2,425,262,2.0
263,3,428,263,3.0
264,4,428,264,0.0
265,0,428,265,0.0
266,1,429,266,1.0
267,2,432,267,3.0
268,3,434,268,2.0
269,4,436,269,2.0
270,0,438,270,2.0
271,1,439,271,1.0
272,2,442,272,3.0
273,3,445,273,3.0
274,4,447,274,2.0
275,0,447,275,0.0
276,1,448,276,1.0
277,2,451,277,3.0
278,3,451,278,0.0
279,4,455,279,4.0
280,0,455,280,0.0
281,1,456,281,1.0
282,2,459,282,3.0
283,3,461,283,2.0
284,4,465,284,4.0
285,0,467,285,2.0
286,1,468,286,1.0
287,2,471,287,3.0
288,3,474,288,3.0
289,4,474,289,0.0
290,0,474,290,0.0
291,1,475,291,1.0
292,2,477,292,2.0
293,3,480,293,3.0
294,4,480,294,0.0
295,0,481,295,1.0
296,1,481,296,0.0
297,2,484,297,3.0
298,3,487,298,3.0
299,4,489,299,2.0
300,0,489,300,0.0
301,1,490,301,1.0
302,2,493,302,3.0
303,3,496,303,3.0
304,4,496,304,0.0
305,0,496,305,0.0
306,1,497,306,1.0
307,2,499,307,2.0
308,3,500,308,1.0
309,4,500,309,0.0
310,0,500,310,0.0
311,1,500,311,0.0
312,2,503,312,3.0
313,3,505,313,2.0
314,4,507,314,2.0
315,0,509,315,2.0
316,1,510,316,1.0
317,2,513,317,3.0
318,3,516,318,3.0
319,4,518,319,2.0
320,0,518,320,0.0
321,1,519,321,1.0
322,2,522,322,3.0
323,3,525,323,3.0
324,4,525,324,0.0
325,0,525,325,0.0
326,1,526,326,1.0
327,2,529,327,3.0
328,3,531,328,2.0
329,4,533,329,2.0
330,0,533,330,0.0
331,1,534,331,1.0
332,2,537,332,3.0
333,3,539,333,2.0
334,4,543,334,4.0
335,0,543,335,0.0
336,1,544,336,1.0
